id,IssuerName,ISIN,CouponRate,Maturity,high,low,last,yield%,change,credit_rating,currency,coupon_prd.
1,Buzzster,UPB042,1.995,01/20/2040,328.153,302.229,304.562,1.999,-22.321,A,INR,S
2,Ntags,LXBC2328,0.827,07/06/2029,270.955,246.677,256.874,0.828,3.281,A,EUR,A
3,Oyoba,TYE047,4.534,12/21/2037,348.781,316.658,318.586,4.555,-9.819,CCB,INR,S
4,Brightdog,QXG483018,0.045,10/12/2047,133.497,127.276,131.631,0.045,2.235,B,EUR,Q
5,Centidel,IPUVL586203,1.836,07/15/2038,326.288,314.901,319.456,1.839,-0.419,BBB,EUR,A
6,Einti,MVL18717,4.125,08/11/2048,441.714,409.601,413.776,4.142,-22.06,AA,USD,A
7,Zoovu,KEVJT991,4.681,02/07/2036,27.139,26.48,26.559,4.703,0.497,C,EUR,S
8,Meezzy,BTUP25396,4.8,05/03/2036,404.714,364.243,379.217,4.823,17.765,A,USD,A
9,Skibox,AVGS633,1.81,08/13/2021,379.138,362.191,369.986,1.813,-0.699,BB,USD,Q
10,Skimia,WOGXL690268,4.723,09/03/2026,241.853,238.854,240.413,4.745,3.774,AAA,EUR,A
11,Skippad,XTR08450,2.69,04/26/2021,185.444,181.457,183.889,2.697,1.009,A,GBP,S
12,Tambee,VJWUG996,4.519,02/18/2036,317.156,312.367,314.091,4.539,15.887,AA,EUR,S
13,Babblestorm,PNT997,2.744,07/21/2046,253.945,235.788,243.414,2.752,-2.509,BBB,GBP,A
14,Tambee,QUTFV94596,2.609,01/09/2034,327.836,318.132,327.06,2.616,-0.049,CCB,INR,A
15,Jaxspan,SRF588,4.022,03/05/2049,137.714,136.419,136.808,4.038,-28.109,A,INR,Q
16,BlogXS,IVYHR68541,4.946,04/14/2032,125.046,120.119,121.4,4.97,-6.06,B,INR,Q
17,Thoughtstorm,TJCH1498,2.51,10/08/2029,53.47,52.604,53.011,2.516,8.81,AA,USD,S
18,Geba,EYHU359489,0.968,06/28/2050,173.596,160.316,167.753,0.969,12.361,C,INR,A
19,Fanoodle,ZCL715175,0.113,04/29/2024,86.354,81.769,81.952,0.113,-5.705,AA,INR,S
20,Skyndu,ZVARE722550,3.4,11/17/2024,107.009,103.895,104.674,3.412,-4.18,BBB,INR,Q
21,Eare,VEOQ198282,0.063,03/02/2049,250.557,240.434,250.152,0.063,-19.505,AA,INR,A
22,Flashdog,WON590230,2.243,03/20/2036,284.045,282.454,283.822,2.248,2.609,BB,INR,S
23,Cogibox,IQJ883878,4.815,09/15/2048,394.778,378.987,379.934,4.838,1.999,B,GBP,S
24,Linktype,ARE41764,3.824,08/29/2047,218.197,208.073,209.591,3.839,9.66,A,GBP,S
25,Skimia,DGXCS522689,1.676,03/24/2036,389.468,373.617,380.274,1.679,15.243,AA,GBP,S
26,Edgeclub,ATQOC282,1.068,01/31/2031,243.738,224.068,228.986,1.069,0.314,BB,EUR,S
27,Twimbo,BDY491992,2.467,07/05/2019,444.135,436.807,438.272,2.473,-10.559,A,USD,Q
28,Rhycero,KSVZY623745,0.719,06/06/2041,367.253,336.734,344.974,0.72,-21.37,A,EUR,S
29,Yata,TCS762515,2.733,12/04/2042,409.486,382.296,383.656,2.74,-33.692,AA,USD,S
30,Roomm,HFKGC509,0.037,01/17/2028,465.871,450.544,459.434,0.037,60.209,AAA,USD,Q
31,Brainverse,KNW02905,2.339,04/28/2039,425.188,408.053,418.334,2.344,-2.75,AAA,USD,Q
32,Muxo,ZUNI868,2.219,10/21/2047,222.895,204.863,214.24,2.224,11.116,BB,GBP,S
33,Latz,ZQSUT060,4.523,05/16/2025,227.401,217.782,222.111,4.543,1.014,BBB,INR,S
34,Zoozzy,AXNBC733883,0.876,12/18/2018,432.988,392.677,428.554,0.877,-16.902,AA,USD,Q
35,Roodel,WZC519816,1.808,10/28/2039,281.607,268.597,279.655,1.811,-52.11,BB,USD,Q
36,Blognation,ROG3979,3.632,11/28/2046,431.834,394.567,426.989,3.645,32.713,AA,GBP,A
37,Eayo,UFEJW538,3.808,08/23/2044,217.055,215.514,216.038,3.823,-1.128,AAA,USD,A
38,Yakitri,JEIQ0564,2.599,12/09/2020,493.08,489.283,490.536,2.606,-0.357,BBB,EUR,A
39,Jaxspan,PKAEN12555,4.62,07/31/2049,51.604,50.814,51.486,4.641,-1.108,AA,GBP,A
40,Devpoint,YPTV315,4.06,12/12/2023,450.706,407.844,422.417,4.076,-227.323,A,INR,A
41,Jatri,SZPW582066,2.634,05/10/2034,167.266,164.724,166.274,2.641,-19.222,AA,EUR,Q
42,Zoomdog,SDR202,4.634,12/21/2027,328.251,321.292,324.772,4.655,-15.1,B,INR,S
43,Blogtags,HKBU87963,3.299,10/18/2034,483.778,454.122,483.481,3.31,7.96,A,INR,Q
44,Skinder,CJZF367384,1.847,03/13/2025,417.58,396.785,396.785,1.85,-1.173,A,USD,Q
45,Aibox,NMYBC5244,3.928,02/21/2041,200.521,195.688,200.376,3.943,-6.18,CCB,EUR,A
46,Photospace,WRKV14614,4.804,02/13/2037,128.439,126.988,128.366,4.827,3.994,BBB,INR,S
47,Meetz,NFAL682203,1.579,03/28/2032,438.606,402.64,407.676,1.581,-26.802,AA,EUR,Q
48,Pixoboo,MXATW108,1.122,02/23/2020,180.864,178.133,178.843,1.123,-12.052,CCC,USD,A
49,Topicshots,CNPQ48249,1.228,12/01/2036,315.635,289.216,304.275,1.23,18.543,B,USD,S
50,Blogspan,QATHD9108,4.547,05/06/2033,282.098,259.897,262.783,4.568,18.845,AA,INR,A
51,Brainverse,XDL9523,4.666,01/01/2040,443.518,427.773,436.905,4.688,1.7,A,GBP,Q
52,Browsetype,NGF142,2.022,11/13/2031,145.735,139.264,144.053,2.026,-0.778,AAA,EUR,A
53,Divanoodle,VEOLR973789,1.975,11/25/2026,461.043,448.226,452.327,1.979,-22.008,CCB,USD,A
54,Oloo,JPC2370,4.919,01/20/2050,415.637,406.244,410.752,4.943,-36.903,AA,EUR,A
55,Blogtags,VBG008,3.905,08/05/2048,469.329,465.293,468.239,3.92,-38.592,AAA,INR,A
56,Fanoodle,IOVGB309,3.571,06/23/2049,253.627,235.163,237.563,3.584,148.564,AA,EUR,S
57,Zoomdog,JBM55688,0.462,04/16/2037,141.309,128.054,130.042,0.462,1.9,A,INR,Q
58,Avavee,KAT883411,0.009,02/19/2029,52.308,48.526,49.056,0.009,-1.331,B,GBP,S
